,ProjectID,land_use,year,percent_development_pa,status,development_pa
68,1032,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
69,1113.3.3,Residential - Villas Non-Emiratis (Units),2024,0.1111111111111111,Under Construction,0.0
70,1007.27,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
71,6029,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
72,6033,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
73,1089.56,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
74,1236,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
75,1086.3,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
76,1085,Residential - Villas Non-Emiratis (Units),2024,0.14285714285714285,Under Construction,13137.142857142855
77,1740,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,20900.0
78,2100.4,Residential - Villas Non-Emiratis (Units),2024,0.0,Under Construction,0.0
79,1235,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,15200.0
80,1114.1,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,32300.0
81,1113.8,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,53200.0
82,2897,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
83,5365,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,27360.0
84,1113.9,Residential - Villas Non-Emiratis (Units),2024,0.5,Under Construction,59280.0
85,1119,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,135280.0
86,12222,Residential - Villas Non-Emiratis (Units),2024,0.045454545454545456,Under Construction,0.0
87,21227,Residential - Villas Non-Emiratis (Units),2024,0.5,Under Construction,163400.0
88,1413,Residential - Villas Non-Emiratis (Units),2024,0.5,Under Construction,256690.0
89,1113.27,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
90,24996,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,554040.0
91,23168,Residential - Villas Non-Emiratis (Units),2024,0.9,Under Construction,250344.0
92,1113.6,Residential - Villas Non-Emiratis (Units),2024,0.25,Under Construction,130530.0
93,2115.2.1,Residential - Villas Non-Emiratis (Units),2024,1.0,Under Construction,0.0
94,Riyadh,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
95,2100,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
96,5000,Residential - Apartments (Units),2024,0.0,Under Construction,0.0
97,1996,Residential - Apartments (Units),2024,0.041176470588235294,Under Construction,0.0
98,1995,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
99,ICAD 1,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
100,1994,Residential - Apartments (Units),2024,0.0,Under Construction,0.0
101,1001.8.1,Residential - Apartments (Units),2024,0.0,Under Construction,0.0
102,1089.62,Residential - Apartments (Units),2024,0.0,Under Construction,0.0
103,1997,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
104,1072,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
105,1170,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
106,1114,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
107,1146,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
108,1097.4,Residential - Apartments (Units),2024,0.08333333333333333,Under Construction,0.0
109,1042,Residential - Apartments (Units),2024,0.5,Under Construction,0.0
110,1633,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
111,25087,Residential - Apartments (Units),2024,0.3333333333333333,Under Construction,0.0
112,1097.34,Residential - Apartments (Units),2024,0.08333333333333333,Under Construction,0.0
113,1783,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
114,1007.45,Residential - Apartments (Units),2024,0.0,Under Construction,0.0
115,1032,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
116,1113.3.3,Residential - Apartments (Units),2024,0.1111111111111111,Under Construction,0.0
117,1007.27,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
118,6029,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
119,6033,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
120,1089.56,Residential - Apartments (Units),2024,0.1,Under Construction,0.0
121,1236,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
122,1086.3,Residential - Apartments (Units),2024,0.14285714285714285,Under Construction,0.0
123,1085,Residential - Apartments (Units),2024,0.14285714285714285,Under Construction,0.0
124,1740,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
125,2100.4,Residential - Apartments (Units),2024,0.0,Under Construction,0.0
126,1235,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
127,1114.1,Residential - Apartments (Units),2024,1.0,Under Construction,1900.0
128,1113.8,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
129,2897,Residential - Apartments (Units),2024,1.0,Under Construction,30875.0
130,5365,Residential - Apartments (Units),2024,1.0,Under Construction,25412.5
131,1113.9,Residential - Apartments (Units),2024,0.5,Under Construction,0.0
132,1119,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
133,12222,Residential - Apartments (Units),2024,0.045454545454545456,Under Construction,1937.784090909091
134,21227,Residential - Apartments (Units),2024,0.5,Under Construction,0.0
135,1413,Residential - Apartments (Units),2024,0.5,Under Construction,59434.375
136,1113.27,Residential - Apartments (Units),2024,1.0,Under Construction,128606.25
137,24996,Residential - Apartments (Units),2024,1.0,Under Construction,0.0
138,23168,Residential - Apartments (Units),2024,0.9,Under Construction,199321.875
139,1113.6,Residential - Apartments (Units),2024,0.25,Under Construction,39335.9375
140,2115.2.1,Residential - Apartments (Units),2024,1.0,Under Construction,418831.25
141,Riyadh,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
142,2100,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
143,5000,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
144,1996,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
145,1995,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
146,ICAD 1,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
147,1994,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
148,1001.8.1,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
149,1089.62,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
150,1997,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
151,1072,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
152,1170,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
153,1114,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
154,1146,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
155,1097.4,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
156,1042,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
157,1633,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
158,25087,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
159,1097.34,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
160,1783,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
161,1007.45,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
162,1032,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
163,1113.3.3,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
164,1007.27,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
165,6029,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
166,6033,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
167,1089.56,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
168,1236,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
169,1086.3,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
170,1085,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
171,1740,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
172,2100.4,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
173,1235,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
174,1114.1,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
175,1113.8,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
176,2897,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
177,5365,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
178,1113.9,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
179,1119,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
180,12222,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
181,21227,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
182,1413,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
183,1113.27,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
184,24996,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
185,23168,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
186,1113.6,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
187,2115.2.1,Residential - Labour Accommodation (Units),2024,0.0,Under Construction,0.0
188,Riyadh,Retail (GFA),2024,1.0,Under Construction,21063.0
189,2100,Retail (GFA),2024,1.0,Under Construction,41666.0
190,5000,Retail (GFA),2024,0.0,Under Construction,0.0
191,1996,Retail (GFA),2024,0.03529411764705882,Under Construction,654.4235294117647
192,1995,Retail (GFA),2024,1.0,Under Construction,859332.0
193,ICAD 1,Retail (GFA),2024,1.0,Under Construction,33100.0
194,1994,Retail (GFA),2024,0.0,Under Construction,0.0
195,1001.8.1,Retail (GFA),2024,0.0,Under Construction,0.0
196,1089.62,Retail (GFA),2024,0.0,Under Construction,0.0
197,1997,Retail (GFA),2024,1.0,Under Construction,0.0
198,1072,Retail (GFA),2024,1.0,Under Construction,0.0
199,1170,Retail (GFA),2024,1.0,Under Construction,0.0
200,1114,Retail (GFA),2024,1.0,Under Construction,0.0
201,1146,Retail (GFA),2024,1.0,Under Construction,972.0
202,1097.4,Retail (GFA),2024,0.08333333333333333,Under Construction,32493.0
203,1042,Retail (GFA),2024,0.5,Under Construction,4658.0
204,1633,Retail (GFA),2024,1.0,Under Construction,65561.0
205,25087,Retail (GFA),2024,0.3333333333333333,Under Construction,0.0
206,1097.34,Retail (GFA),2024,0.08333333333333333,Under Construction,472.91666666666663
207,1783,Retail (GFA),2024,1.0,Under Construction,0.0
208,1007.45,Retail (GFA),2024,0.0,Under Construction,0.0
209,1032,Retail (GFA),2024,1.0,Under Construction,360.0
210,1113.3.3,Retail (GFA),2024,0.1111111111111111,Under Construction,106.66666666666666
211,1007.27,Retail (GFA),2024,1.0,Under Construction,0.0
212,6029,Retail (GFA),2024,1.0,Under Construction,2500.0
213,6033,Retail (GFA),2024,1.0,Under Construction,972.0
214,1089.56,Retail (GFA),2024,0.1,Under Construction,0.0
215,1236,Retail (GFA),2024,1.0,Under Construction,12080.0
216,1086.3,Retail (GFA),2024,0.14285714285714285,Under Construction,171.75714285714284
217,1085,Retail (GFA),2024,0.14285714285714285,Under Construction,275.57142857142856
218,1740,Retail (GFA),2024,1.0,Under Construction,760.0
219,2100.4,Retail (GFA),2024,0.0,Under Construction,0.0
220,1235,Retail (GFA),2024,1.0,Under Construction,0.0
221,1114.1,Retail (GFA),2024,1.0,Under Construction,3730.0
222,1113.8,Retail (GFA),2024,1.0,Under Construction,834.0
223,2897,Retail (GFA),2024,1.0,Under Construction,130073.0
224,5365,Retail (GFA),2024,1.0,Under Construction,1500.0
225,1113.9,Retail (GFA),2024,0.5,Under Construction,0.0
226,1119,Retail (GFA),2024,1.0,Under Construction,3152.0
227,12222,Retail (GFA),2024,0.045454545454545456,Under Construction,107.4090909090909
228,21227,Retail (GFA),2024,0.5,Under Construction,1500.0
229,1413,Retail (GFA),2024,0.0,Under Construction,0.0
230,1113.27,Retail (GFA),2024,1.0,Under Construction,12086.0
231,24996,Retail (GFA),2024,1.0,Under Construction,13360.0
232,23168,Retail (GFA),2024,0.9,Under Construction,46209.6
233,1113.6,Retail (GFA),2024,0.25,Under Construction,4805.25
234,2115.2.1,Retail (GFA),2024,1.0,Under Construction,100000.0
235,Riyadh,Office (GFA),2024,0.25,Under Construction,50962.25
236,2100,Office (GFA),2024,1.0,Under Construction,0.0
237,5000,Office (GFA),2024,0.0,Under Construction,0.0
238,1996,Office (GFA),2024,0.01764705882352941,Under Construction,732.5294117647059
239,1995,Office (GFA),2024,1.0,Under Construction,1000000.0
240,ICAD 1,Office (GFA),2024,1.0,Under Construction,37000.0
241,1994,Office (GFA),2024,0.0,Under Construction,0.0
242,1001.8.1,Office (GFA),2024,0.0,Under Construction,0.0
243,1089.62,Office (GFA),2024,0.0,Under Construction,0.0
244,1997,Office (GFA),2024,1.0,Under Construction,0.0
245,1072,Office (GFA),2024,1.0,Under Construction,0.0
246,1170,Office (GFA),2024,1.0,Under Construction,0.0
247,1114,Office (GFA),2024,1.0,Under Construction,0.0
248,1146,Office (GFA),2024,1.0,Under Construction,0.0
249,1097.4,Office (GFA),2024,0.08333333333333333,Under Construction,3333.333333333333
250,1042,Office (GFA),2024,0.5,Under Construction,0.0
251,1633,Office (GFA),2024,1.0,Under Construction,0.0
252,25087,Office (GFA),2024,0.3333333333333333,Under Construction,0.0
253,1097.34,Office (GFA),2024,0.08333333333333333,Under Construction,0.0
254,1783,Office (GFA),2024,1.0,Under Construction,0.0
255,1007.45,Office (GFA),2024,0.0,Under Construction,0.0
256,1032,Office (GFA),2024,1.0,Under Construction,3300.0
257,1113.3.3,Office (GFA),2024,0.1111111111111111,Under Construction,0.0
258,1007.27,Office (GFA),2024,1.0,Under Construction,0.0
259,6029,Office (GFA),2024,1.0,Under Construction,0.0
260,6033,Office (GFA),2024,1.0,Under Construction,0.0
261,1089.56,Office (GFA),2024,0.1,Under Construction,0.0
262,1236,Office (GFA),2024,1.0,Under Construction,0.0
263,1086.3,Office (GFA),2024,0.14285714285714285,Under Construction,23.771428571428572
264,1085,Office (GFA),2024,0.14285714285714285,Under Construction,0.0
265,1740,Office (GFA),2024,1.0,Under Construction,0.0
266,2100.4,Office (GFA),2024,0.0,Under Construction,0.0
267,1235,Office (GFA),2024,1.0,Under Construction,0.0
268,1114.1,Office (GFA),2024,1.0,Under Construction,0.0
269,1113.8,Office (GFA),2024,1.0,Under Construction,616.0
270,2897,Office (GFA),2024,1.0,Under Construction,0.0
271,5365,Office (GFA),2024,1.0,Under Construction,0.0
272,1113.9,Office (GFA),2024,0.5,Under Construction,0.0
273,1119,Office (GFA),2024,1.0,Under Construction,0.0
274,12222,Office (GFA),2024,0.045454545454545456,Under Construction,0.0
275,21227,Office (GFA),2024,0.5,Under Construction,350.0
276,1413,Office (GFA),2024,0.0,Under Construction,0.0
277,1113.27,Office (GFA),2024,1.0,Under Construction,45462.0
278,24996,Office (GFA),2024,1.0,Under Construction,162.0
279,23168,Office (GFA),2024,0.9,Under Construction,0.0
280,1113.6,Office (GFA),2024,0.25,Under Construction,250.0
281,2115.2.1,Office (GFA),2024,1.0,Under Construction,0.0
282,Riyadh,Industrial (GFA),2024,0.7,Under Construction,8255823.1
283,2100,Industrial (GFA),2024,1.0,Under Construction,0.0
284,5000,Industrial (GFA),2024,0.0,Under Construction,0.0
285,1996,Industrial (GFA),2024,0.03529411764705882,Under Construction,19714.58823529412
286,1995,Industrial (GFA),2024,1.0,Under Construction,75313.0
287,ICAD 1,Industrial (GFA),2024,1.0,Under Construction,0.0
288,1994,Industrial (GFA),2024,0.0,Under Construction,0.0
289,1001.8.1,Industrial (GFA),2024,0.0,Under Construction,0.0
290,1089.62,Industrial (GFA),2024,0.0,Under Construction,0.0
291,1997,Industrial (GFA),2024,1.0,Under Construction,0.0
292,1072,Industrial (GFA),2024,1.0,Under Construction,0.0
293,1170,Industrial (GFA),2024,1.0,Under Construction,0.0
294,1114,Industrial (GFA),2024,1.0,Under Construction,0.0
295,1146,Industrial (GFA),2024,1.0,Under Construction,504392.84
296,1097.4,Industrial (GFA),2024,0.08333333333333333,Under Construction,0.0
297,1042,Industrial (GFA),2024,0.0,Under Construction,0.0
298,1633,Industrial (GFA),2024,1.0,Under Construction,0.0
299,25087,Industrial (GFA),2024,0.3333333333333333,Under Construction,0.0
300,1097.34,Industrial (GFA),2024,0.08333333333333333,Under Construction,0.0
301,1783,Industrial (GFA),2024,1.0,Under Construction,0.0
302,1007.45,Industrial (GFA),2024,0.0,Under Construction,0.0
303,1032,Industrial (GFA),2024,1.0,Under Construction,0.0
304,1113.3.3,Industrial (GFA),2024,0.1111111111111111,Under Construction,0.0
305,1007.27,Industrial (GFA),2024,1.0,Under Construction,0.0
306,6029,Industrial (GFA),2024,1.0,Under Construction,0.0
307,6033,Industrial (GFA),2024,1.0,Under Construction,504393.0
308,1089.56,Industrial (GFA),2024,0.1,Under Construction,0.0
309,1236,Industrial (GFA),2024,1.0,Under Construction,0.0
310,1086.3,Industrial (GFA),2024,0.14285714285714285,Under Construction,0.0
311,1085,Industrial (GFA),2024,0.14285714285714285,Under Construction,0.0
312,1740,Industrial (GFA),2024,1.0,Under Construction,0.0
313,2100.4,Industrial (GFA),2024,0.0,Under Construction,0.0
314,1235,Industrial (GFA),2024,1.0,Under Construction,0.0
315,1114.1,Industrial (GFA),2024,1.0,Under Construction,0.0
316,1113.8,Industrial (GFA),2024,1.0,Under Construction,0.0
317,2897,Industrial (GFA),2024,1.0,Under Construction,0.0
318,5365,Industrial (GFA),2024,1.0,Under Construction,0.0
319,1113.9,Industrial (GFA),2024,0.5,Under Construction,0.0
320,1119,Industrial (GFA),2024,1.0,Under Construction,0.0
321,12222,Industrial (GFA),2024,0.045454545454545456,Under Construction,0.0
322,21227,Industrial (GFA),2024,0.5,Under Construction,0.0
323,1413,Industrial (GFA),2024,0.0,Under Construction,0.0
324,1113.27,Industrial (GFA),2024,1.0,Under Construction,0.0
325,24996,Industrial (GFA),2024,1.0,Under Construction,0.0
326,23168,Industrial (GFA),2024,1.0,Under Construction,0.0
327,1113.6,Industrial (GFA),2024,0.25,Under Construction,0.0
328,2115.2.1,Industrial (GFA),2024,1.0,Under Construction,0.0
329,Riyadh,Hotel (Units),2024,0.0,Under Construction,0.0
330,2100,Hotel (Units),2024,1.0,Under Construction,0.0
331,5000,Hotel (Units),2024,0.0,Under Construction,0.0
332,1996,Hotel (Units),2024,0.03529411764705882,Under Construction,0.0
333,1995,Hotel (Units),2024,1.0,Under Construction,1073000.0
334,ICAD 1,Hotel (Units),2024,1.0,Under Construction,40065.0
335,1994,Hotel (Units),2024,0.0,Under Construction,0.0
336,1001.8.1,Hotel (Units),2024,0.0,Under Construction,0.0
337,1089.62,Hotel (Units),2024,0.0,Under Construction,0.0
338,1997,Hotel (Units),2024,1.0,Under Construction,0.0
339,1072,Hotel (Units),2024,1.0,Under Construction,0.0
340,1170,Hotel (Units),2024,1.0,Under Construction,0.0
341,1114,Hotel (Units),2024,1.0,Under Construction,0.0
342,1146,Hotel (Units),2024,1.0,Under Construction,0.0
343,1097.4,Hotel (Units),2024,0.08333333333333333,Under Construction,0.0
344,1042,Hotel (Units),2024,0.5,Under Construction,0.0
345,1633,Hotel (Units),2024,1.0,Under Construction,79745.51724
346,25087,Hotel (Units),2024,0.3333333333333333,Under Construction,0.0
347,1097.34,Hotel (Units),2024,0.08333333333333333,Under Construction,0.0
348,1783,Hotel (Units),2024,1.0,Under Construction,0.0
349,1007.45,Hotel (Units),2024,0.0,Under Construction,0.0
350,1032,Hotel (Units),2024,1.0,Under Construction,0.0
351,1113.3.3,Hotel (Units),2024,0.1111111111111111,Under Construction,0.0
352,1007.27,Hotel (Units),2024,1.0,Under Construction,0.0
353,6029,Hotel (Units),2024,1.0,Under Construction,16693.333336
354,6033,Hotel (Units),2024,1.0,Under Construction,0.0
355,1089.56,Hotel (Units),2024,0.1,Under Construction,2206.896552
356,1236,Hotel (Units),2024,1.0,Under Construction,0.0
357,1086.3,Hotel (Units),2024,0.14285714285714285,Under Construction,24.07142857142857
358,1085,Hotel (Units),2024,0.14285714285714285,Under Construction,0.0
359,1740,Hotel (Units),2024,1.0,Under Construction,0.0
360,2100.4,Hotel (Units),2024,0.0,Under Construction,0.0
361,1235,Hotel (Units),2024,1.0,Under Construction,0.0
362,1114.1,Hotel (Units),2024,1.0,Under Construction,0.0
363,1113.8,Hotel (Units),2024,1.0,Under Construction,0.0
364,2897,Hotel (Units),2024,1.0,Under Construction,0.0
365,5365,Hotel (Units),2024,1.0,Under Construction,0.0
366,1113.9,Hotel (Units),2024,0.5,Under Construction,0.0
367,1119,Hotel (Units),2024,1.0,Under Construction,0.0
368,12222,Hotel (Units),2024,0.045454545454545456,Under Construction,0.0
369,21227,Hotel (Units),2024,0.5,Under Construction,0.0
370,1413,Hotel (Units),2024,0.0,Under Construction,0.0
371,1113.27,Hotel (Units),2024,1.0,Under Construction,26892.0
372,24996,Hotel (Units),2024,1.0,Under Construction,0.0
373,23168,Hotel (Units),2024,1.0,Under Construction,254042.13336
374,1113.6,Hotel (Units),2024,0.25,Under Construction,12233.25
375,2115.2.1,Hotel (Units),2024,1.0,Under Construction,24070.0
376,Riyadh,Community Facilities (GFA),2024,0.0,Under Construction,0.0
377,2100,Community Facilities (GFA),2024,0.0,Under Construction,0.0
378,5000,Community Facilities (GFA),2024,0.0,Under Construction,0.0
379,1996,Community Facilities (GFA),2024,0.0,Under Construction,0.0
380,1995,Community Facilities (GFA),2024,0.0,Under Construction,0.0
381,ICAD 1,Community Facilities (GFA),2024,0.0,Under Construction,0.0
382,1994,Community Facilities (GFA),2024,0.0,Under Construction,0.0
383,1001.8.1,Community Facilities (GFA),2024,0.0,Under Construction,0.0
384,1089.62,Community Facilities (GFA),2024,0.0,Under Construction,0.0
385,1997,Community Facilities (GFA),2024,0.0,Under Construction,0.0
386,1072,Community Facilities (GFA),2024,0.0,Under Construction,0.0
387,1170,Community Facilities (GFA),2024,0.0,Under Construction,0.0
388,1114,Community Facilities (GFA),2024,0.0,Under Construction,0.0
389,1146,Community Facilities (GFA),2024,0.0,Under Construction,0.0
